algorithm,graph_type,graph_structure,dag_edges_directed,dag_edges_undirected,dag_nodes,train_size,repetition,seed,categorical,column_order_strategy,column_order,mean_corr_difference,max_corr_difference,propensity_metrics_avg_pMSE,propensity_metrics_pMSE_err,propensity_metrics_avg_acc,propensity_metrics_acc_err,k_marginal_tvd,mean_mi_difference,max_mi_difference,mean_ks_distance,nnaa
vanilla,,,0,0,0,50,0,42,False,original,"[0, 1, 2, 3]",0.0468094438976569,0.10245169598974124,0.003454287063152708,0.00033489953871908393,0.5510433166233504,0.014411797757287802,0.30208333333333337,0.00028110663211309206,0.00028110663211309206,0.09937500000000002,0.5655
vanilla,,,0,0,0,50,1,43,False,original,"[0, 1, 2, 3]",0.18540560578408835,0.37571227292693143,0.004758804469571742,0.00034748369940383383,0.5712397672681332,0.008407293376510888,0.26525000000000004,0.0002811052829020559,0.0002811052829020559,0.0775,0.55
vanilla,,,0,0,0,50,2,44,False,original,"[0, 1, 2, 3]",0.11917029656707251,0.2276006864614939,0.004001783623837333,0.00021251184605534696,0.5619236607197589,0.006318250783845836,0.2654166666666667,0.0002579614468788562,0.0002579614468788562,0.10437500000000001,0.55325
vanilla,,,0,0,0,50,3,45,False,original,"[0, 1, 2, 3]",0.016539372994510887,0.03965594747399619,0.0034341724494942037,9.476567190181967e-05,0.5471849838329664,0.004542321372129383,0.23816666666666672,0.00036482089561254926,0.00036482089561254926,0.083,0.55575
vanilla,,,0,0,0,50,4,46,False,original,"[0, 1, 2, 3]",0.1275783631889704,0.25266750336729926,0.0033486236187850785,0.00024240305756531824,0.5334081078216585,0.0073240295030882465,0.23825000000000005,0.00012897778261099983,0.00012897778261099983,0.059375,0.5345
vanilla,,,0,0,0,50,5,47,False,original,"[0, 1, 2, 3]",0.04144168923455388,0.09176118548808913,0.0004151195266546688,5.567590903709901e-05,0.5132701997119002,0.0051990426554429404,0.2235,0.00022339607229778465,0.00022339607229778465,0.038,0.51625
vanilla,,,0,0,0,50,6,48,False,original,"[0, 1, 2, 3]",0.1322620767116231,0.2599628888302591,0.006765518592782535,0.0001675003232395167,0.5604800701409662,0.008163064971568768,0.25875000000000004,0.00017061823426692163,0.00017061823426692163,0.107625,0.5527500000000001
vanilla,,,0,0,0,50,7,49,False,original,"[0, 1, 2, 3]",0.07396279947903094,0.15749796128983642,0.008717623444647452,0.00037750380904938365,0.5709467960495683,0.003815966632945689,0.2591666666666667,0.0001706293495351986,0.0001706293495351986,0.11862500000000001,0.53975
vanilla,,,0,0,0,50,8,50,False,original,"[0, 1, 2, 3]",0.028853840902443542,0.07024352431886653,0.005228935207465007,0.0002775686936731773,0.5581709342033955,0.005867448370943641,0.24708333333333335,0.00017062934953516892,0.00017062934953516892,0.107375,0.5367500000000001
vanilla,,,0,0,0,50,9,51,False,original,"[0, 1, 2, 3]",0.025836020821517997,0.05284401209647867,0.0034658459864496,0.00011288020334805766,0.5506545963113167,0.002539577392221083,0.22891666666666666,0.00021388456882060213,0.00021388456882060213,0.052,0.546
vanilla,,,0,0,0,100,0,42,False,original,"[0, 1, 2, 3]",0.06460458431367018,0.1274812338460194,0.001617581478206058,0.00020157022777063586,0.54516790048268,0.008125926695881155,0.26833333333333337,0.00022339607229778465,0.00022339607229778465,0.079625,0.53575
vanilla,,,0,0,0,100,1,43,False,original,"[0, 1, 2, 3]",0.018274011091748397,0.03169464366841568,0.0017923585654598486,0.0001238226812462198,0.5369519366913047,0.010296852026598979,0.20775000000000002,0.00021388456882064948,0.00021388456882064948,0.051625,0.503
vanilla,,,0,0,0,100,2,44,False,original,"[0, 1, 2, 3]",0.10051842911771902,0.1962543552791987,0.0014173521575832422,0.00015065488448893512,0.5381264985467828,0.01050630690093609,0.24116666666666667,0.00018239797064362312,0.00018239797064362312,0.07212500000000001,0.51075
vanilla,,,0,0,0,100,3,45,False,original,"[0, 1, 2, 3]",0.06242076510550401,0.1234986742908105,0.0026270130136672384,0.0002630937484554828,0.541801089891891,0.009792589182571984,0.22891666666666668,0.00022339607237508623,0.00022339607237508623,0.06725,0.52725
vanilla,,,0,0,0,100,4,46,False,original,"[0, 1, 2, 3]",0.052045635108331025,0.10781512944712332,0.00498759883759021,0.000430655641154392,0.5661781353836137,0.007383725424699807,0.2171666666666667,0.00018239797064362312,0.00018239797064362312,0.04175,0.515
vanilla,,,0,0,0,100,5,47,False,original,"[0, 1, 2, 3]",0.06487776680905766,0.1435136004518625,0.0011682632350624334,9.961674851856105e-05,0.5247061396370087,0.008277273560167893,0.22566666666666668,0.00021388456882064948,0.00021388456882064948,0.042499999999999996,0.5117499999999999
vanilla,,,0,0,0,100,6,48,False,original,"[0, 1, 2, 3]",0.04541712705646647,0.09271220528301281,0.0044373393596815105,0.00023258120963914642,0.549393751829993,0.007573241741423007,0.21766666666666667,0.0002579614468788562,0.0002579614468788562,0.072125,0.527
